topic,term,weight
000,wicked,0.011118189
000,heart,0.012138791
000,good,0.010420642
000,evil,0.008203594
000,righteous,0.006898818
000,soul,0.007516207
000,hath,0.012886803
000,mouth,0.006354125
000,wise,0.0058340677
000,eye,0.006287197
001,holy,0.020949833
001,lord,0.03853328
001,nanak,0.016141169
001,mehl,0.010704432
001,company,0.009810997
001,saint,0.008262456
001,pause,0.0084266765
001,meditate,0.007445275
001,praise,0.008610209
001,foot,0.0059922775
002,you,0.06561181
002,thy,0.052823905
002,thou,0.04728821
002,thine,0.011741169
002,shall,0.012499337
002,behold,0.008731207
002,saith,0.008075067
002,hand,0.008988614
002,pray,0.0046385857
002,jacob,0.004950748
003,day,0.03974511
003,ye,0.020784158
003,night,0.0074885623
003,israel,0.014611281
003,house,0.012119304
003,month,0.006885071
003,eat,0.0080155125
003,sabbath,0.0055122725
003,lord,0.028482152
003,pass,0.0069077904
004,true,0.06044048
004,lord,0.07154527
004,guru,0.045705684
004,shabad,0.02096324
004,nanak,0.019109767
004,naam,0.0155210495
004,mehl,0.013011277
004,gurmukh,0.012403212
004,obtain,0.01235536
004,love,0.012879516
005,lord,0.067955725
005,saith,0.02915584
005,ye,0.024885548
005,judah,0.01315744
005,jerusalem,0.011735585
005,host,0.0106693925
005,jeremiah,0.009668018
005,land,0.01303368
005,house,0.014144843
005,prophet,0.008514641
006,lord,0.06024571
006,beloved,0.015658619
006,husband,0.015674977
006,soul,0.016206887
006,true,0.017403476
006,love,0.014832581
006,nanak,0.014238371
006,guru,0.01734083
006,bride,0.010916036
006,mehl,0.008735899
007,action,0.010817077
007,arjuna,0.008524252
007,yoga,0.007986475
007,world,0.008631216
007,attain,0.006638202
007,knowledge,0.006888277
007,nature,0.0056246435
007,desire,0.0051271915
007,krishna,0.0043352344
007,gita,0.004155823
008,people,0.049307708
008,moses,0.010523721
008,you,0.013131912
008,israel,0.01263266
008,earth,0.0065123476
008,city,0.006929878
008,human,0.004017834
008,saul,0.0051761135
008,pass,0.005843148
008,joshua,0.0042190687
009,israel,0.05539681
009,child,0.0330685
009,king,0.024951603
009,lord,0.033563077
009,tribe,0.010037452
009,joshua,0.009421092
009,city,0.011171207
009,people,0.013316282
009,inheritance,0.0069307447
009,smite,0.0067601735
010,earth,0.026327692
010,heaven,0.018427424
010,water,0.011634297
010,great,0.010114803
010,beast,0.007939498
010,angel,0.007301577
010,voice,0.0068568313
010,thing,0.011308699
010,behold,0.008787734
010,glory,0.0052277823
011,thing,0.039967332
011,jesus,0.014226846
011,christ,0.01227434
011,write,0.009067345
011,hath,0.013971204
011,holy,0.009175473
011,world,0.0077778627
011,ye,0.017675547
011,good,0.007817864
011,brother,0.007999135
012,lord,0.059063908
012,kabeer,0.024430227
012,body,0.012722273
012,pause,0.01090555
012,world,0.011717195
012,naam,0.008490581
012,guru,0.012235384
012,death,0.007112598
012,shabad,0.006417083
012,love,0.0067466674
013,thou,0.09414559
013,shall,0.052863415
013,thy,0.048821084
013,you,0.02928388
013,thine,0.0109439865
013,thereof,0.008332064
013,make,0.013706895
013,put,0.0082785785
013,eat,0.007752903
013,art,0.005841003
014,house,0.058483563
014,build,0.010545255
014,cubits,0.010059917
014,israel,0.017056294
014,priest,0.012940948
014,king,0.01648101
014,solomon,0.008591682
014,jerusalem,0.008902456
014,david,0.010490585
014,bring,0.010946983
015,city,0.027952965
015,thousand,0.023552792
015,day,0.022472205
015,suburb,0.011412884
015,lord,0.034244694
015,hundred,0.0140371835
015,side,0.011945219
015,measure,0.0090275295
015,tribe,0.009019107
015,round,0.008032896
016,ye,0.08727616
016,father,0.041047286
016,jesus,0.016689565
016,hath,0.018686028
016,world,0.010590125
016,speak,0.011616127
016,hear,0.009936666
016,verily,0.006733809
016,give,0.010271983
016,john,0.006578852
017,moses,0.0453557
017,lord,0.048303284
017,aaron,0.020070236
017,israel,0.026399499
017,child,0.02102701
017,speak,0.019239469
017,congregation,0.016773144
017,tabernacle,0.015855927
017,put,0.012683549
017,number,0.009869351
018,king,0.099481374
018,servant,0.013827848
018,kingâ€™s,0.011419712
018,babylon,0.007467555
018,esther,0.006780843
018,judah,0.008812401
018,israel,0.014228792
018,solomon,0.0074191373
018,daniel,0.00603048
018,house,0.010476146
019,land,0.052349962
019,egypt,0.028370941
019,pharaoh,0.016743226
019,joseph,0.014020938
019,moses,0.015049413
019,year,0.013612859
019,bring,0.014446474
019,ye,0.019527346
019,brother,0.010849639
019,dwell,0.00845218
020,law,0.02875797
020,christ,0.02135587
020,thing,0.021748068
020,faith,0.016068764
020,spirit,0.015278784
020,jesus,0.013373029
020,flesh,0.011710818
020,work,0.011687743
020,righteousness,0.0076926793
020,ye,0.01871431
021,guru,0.105846755
021,lord,0.069925085
021,true,0.0353784
021,bless,0.01743226
021,naam,0.014286336
021,meditate,0.0118628675
021,pause,0.011874351
021,obtain,0.011275896
021,meet,0.010626236
021,mehl,0.010064028
022,hath,0.07484792
022,father,0.0168762
022,soul,0.008677848
022,thing,0.0124931
022,hear,0.009698823
022,love,0.007286949
022,live,0.0068452293
022,time,0.0076132286
022,good,0.0075522787
022,jacob,0.0064239814
023,king,0.055866998
023,reign,0.042026486
023,year,0.036048688
023,israel,0.03499491
023,judah,0.027771138
023,father,0.028028918
023,jerusalem,0.022221848
023,book,0.011828057
023,begin,0.011277287
023,write,0.010963258
024,jesus,0.05312044
024,disciple,0.027568482
024,saith,0.023350395
024,answer,0.01953145
024,thou,0.02979853
024,john,0.015048021
024,peter,0.012687464
024,ye,0.021811668
024,jew,0.010065805
024,sit,0.009922717
025,praise,0.04635488
025,lord,0.06381624
025,sing,0.016354969
025,give,0.018319912
025,psalm,0.014544
025,hand,0.018726453
025,work,0.015584634
025,ye,0.021428565
025,woman,0.0101697445
025,bless,0.010421412
026,priest,0.050864607
026,offer,0.022331065
026,unclean,0.016513292
026,plague,0.014339773
026,skin,0.01346489
026,flesh,0.012737579
026,burn,0.013882124
026,blood,0.010183853
026,day,0.016391888
026,clean,0.009122815
027,thy,0.15852109
027,thou,0.047289915
027,you,0.029753225
027,thine,0.015690409
027,law,0.012492036
027,heart,0.011813643
027,commandment,0.009300421
027,psalm,0.008623509
027,judgment,0.0087193
027,servant,0.010624243
028,make,0.060500752
028,thereof,0.03062402
028,gold,0.02464905
028,shall,0.024680033
028,cubits,0.017455228
028,side,0.016843105
028,tabernacle,0.016489455
028,work,0.015847277
028,board,0.011541445
028,thou,0.022987733
029,david,0.09410038
029,saul,0.045692895
029,philistine,0.02514938
029,samuel,0.018378988
029,servant,0.01787483
029,israel,0.019462267
029,jonathan,0.010897955
029,hand,0.014909897
029,you,0.01731182
029,king,0.016460288
030,allah,0.10409289
030,ye,0.057903934
030,messenger,0.013170038
030,faith,0.013830975
030,sign,0.012453436
030,reject,0.009150153
030,book,0.009772036
030,turn,0.010112615
030,good,0.01047686
030,fear,0.008997914
031,spirit,0.055571426
031,energy,0.030720891
031,body,0.030779766
031,call,0.016337276
031,people,0.018839063
031,human,0.01030282
031,time,0.011125553
031,long,0.008801903
031,flesh,0.00917987
031,ghost,0.0072546615
032,brother,0.06843839
032,twelve,0.02480162
032,father,0.022662284
032,joseph,0.016981438
032,jacob,0.014851023
032,20,0.0069772517
032,ark,0.0077301133
032,wife,0.007889024
032,call,0.0088453805
032,paul,0.0065395464
033,offer,0.14120229
033,burn,0.04695298
033,offering,0.028017418
033,lamb,0.024824757
033,altar,0.025706692
033,meat,0.024624553
033,ram,0.022689566
033,bullock,0.021773877
033,sacrifice,0.020568639
033,priest,0.019666344
034,hundred,0.07585522
034,thousand,0.0695907
034,child,0.07122378
034,twenty,0.029486222
034,number,0.022422103
034,fifty,0.017541891
034,year,0.01649331
034,thirty,0.013598099
034,captain,0.013135705
034,forty,0.011561513
